SN,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Pixel,Label
785,0,3,16,16,7,0,0,0,0,4,16,11,16,5,0,0,0,0,3,1,12,12,0,0,0,0,0,0,10,12,0,0,0,0,0,0,10,11,0,0,0,0,0,3,15,8,0,0,0,0,4,14,16,11,6,0,0,1,16,16,16,14,16,5,2
786,0,1,12,12,13,13,4,0,0,3,14,6,4,2,1,0,0,5,11,6,2,0,0,0,0,6,16,12,15,4,0,0,0,1,1,0,5,14,0,0,0,0,0,0,2,16,0,0,0,0,4,3,7,14,0,0,0,2,14,16,14,3,0,0,5
787,0,2,11,16,15,4,0,0,0,11,15,8,15,10,0,0,0,3,3,8,16,7,0,0,0,0,4,16,16,9,0,0,0,0,0,4,7,16,4,0,0,0,0,0,0,13,11,0,0,2,15,6,1,14,10,0,0,2,16,16,16,13,3,0,3
788,0,0,9,16,10,1,0,0,0,9,16,9,16,6,0,0,0,16,9,3,16,5,0,0,0,3,6,12,16,10,0,0,0,0,1,10,9,15,8,0,0,0,0,0,0,9,15,0,0,0,3,9,2,13,12,0,0,0,7,16,16,15,4,0,3
789,0,0,2,10,13,3,0,0,0,1,13,7,7,13,0,0,0,7,7,0,2,16,1,0,0,2,11,2,0,13,4,0,0,0,6,15,13,16,8,0,0,0,0,0,0,8,8,0,0,0,0,10,4,9,7,0,0,0,0,11,16,14,2,0,9
790,0,0,0,1,14,7,0,0,0,0,0,5,16,1,0,0,0,0,2,14,7,0,0,0,0,0,10,15,1,6,12,0,0,3,15,3,1,14,6,0,1,15,10,4,10,15,0,0,10,16,16,16,16,12,0,0,0,2,2,0,16,2,0,0,4
791,0,0,1,12,7,0,0,0,0,0,10,13,0,0,0,0,0,2,15,3,0,0,0,0,0,4,15,0,3,0,0,0,0,4,14,15,16,15,2,0,0,0,16,11,2,6,12,0,0,0,13,10,1,5,13,0,0,0,2,10,16,16,6,0,6
792,0,0,0,9,15,10,0,0,0,0,6,10,4,14,4,0,0,0,12,2,0,12,5,0,0,5,15,3,6,13,2,0,0,0,5,16,14,1,0,0,0,0,2,14,12,5,0,0,0,0,0,13,1,13,3,0,0,0,0,9,13,13,2,0,8
793,0,1,12,16,15,3,0,0,0,11,13,5,13,8,0,0,0,3,1,8,16,5,0,0,0,0,3,16,16,13,1,0,0,0,0,0,1,14,6,0,0,0,1,0,0,9,11,0,0,2,15,1,0,13,9,0,0,0,13,16,15,15,2,0,3
794,0,0,8,12,13,14,4,0,0,0,15,8,2,4,1,0,0,1,16,5,2,0,0,0,0,4,12,13,14,8,0,0,0,0,0,0,1,12,4,0,0,0,0,0,0,8,5,0,0,0,6,3,2,14,2,0,0,0,9,16,14,5,0,0,5
795,0,0,6,12,0,0,0,0,0,0,12,9,0,0,0,0,0,0,15,3,0,0,0,0,0,1,16,1,0,0,0,0,0,3,16,15,10,4,2,0,0,2,16,9,0,6,12,0,0,0,13,10,0,6,15,0,0,0,6,16,16,15,7,0,6
796,0,0,0,1,12,10,0,0,0,0,0,1,16,7,0,0,0,0,0,12,12,0,4,0,0,0,5,15,3,7,13,0,0,2,15,5,1,15,6,0,0,12,14,8,11,16,5,0,1,15,16,15,15,14,2,0,0,0,0,0,12,10,0,0,4
797,0,0,0,11,6,0,0,0,0,0,5,16,3,0,0,0,0,0,10,14,0,0,0,0,0,0,14,8,0,0,0,0,0,0,16,15,16,14,5,0,0,0,15,9,0,4,14,0,0,0,9,15,0,3,16,2,0,0,0,9,14,12,7,0,6
798,0,0,12,15,16,8,0,0,0,0,11,13,0,2,0,0,0,0,11,6,1,0,0,0,0,2,16,16,15,8,0,0,0,0,3,0,0,11,2,0,0,0,0,0,0,8,8,0,0,4,5,0,1,12,2,0,0,1,11,15,16,8,0,0,5
799,0,0,0,10,2,0,0,0,0,0,2,16,5,0,0,0,0,0,6,11,0,0,0,0,0,0,12,13,7,1,0,0,0,1,16,14,12,14,2,0,0,2,16,10,0,6,13,0,0,0,10,14,2,1,16,2,0,0,1,10,16,15,14,2,6
800,0,0,6,12,9,4,0,0,0,0,2,14,16,14,0,0,0,0,0,12,16,16,0,0,0,0,0,15,16,13,0,0,0,0,0,16,16,12,0,0,0,0,5,16,16,5,0,0,0,0,7,16,16,5,0,0,0,0,9,12,11,2,0,0,1
801,0,0,3,13,0,0,0,0,0,0,11,9,0,0,0,0,0,0,14,6,0,0,0,0,0,0,16,1,0,0,0,0,0,2,16,15,16,8,0,0,0,1,16,13,5,11,10,0,0,0,13,11,0,2,16,3,0,0,2,15,16,16,13,1,6
802,0,0,13,16,15,13,4,0,0,0,11,14,4,2,1,0,0,0,6,12,15,7,0,0,0,0,0,0,1,11,2,0,0,0,0,0,0,5,7,0,0,1,3,0,0,5,8,0,0,7,9,2,4,13,4,0,0,1,10,14,14,7,0,0,5
803,0,0,9,12,12,12,7,0,0,0,10,12,4,4,2,0,0,0,14,9,5,0,0,0,0,3,16,15,14,12,0,0,0,3,9,0,0,15,5,0,0,0,0,0,0,10,7,0,0,0,7,6,1,15,2,0,0,0,8,16,16,10,0,0,5
804,0,0,3,10,15,13,2,0,0,3,14,12,9,12,7,0,0,4,14,4,2,14,2,0,0,0,5,15,14,8,0,0,0,0,3,15,12,13,1,0,0,0,10,8,0,12,7,0,0,0,11,7,0,9,8,0,0,0,3,11,15,14,2,0,8
805,0,0,9,16,16,12,14,0,0,0,4,8,11,14,13,0,0,0,0,0,3,15,2,0,0,0,0,6,13,15,8,0,0,0,6,16,15,8,2,0,0,0,1,14,9,0,0,0,0,0,4,16,1,0,0,0,0,0,12,9,0,0,0,0,7
806,0,0,13,15,16,16,3,0,0,1,14,4,4,0,0,0,0,2,14,11,7,1,0,0,0,2,15,9,13,11,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,14,3,0,0,3,13,4,6,14,0,0,0,0,13,16,12,3,0,0,5
807,0,0,12,16,12,1,0,0,0,8,15,10,15,6,0,0,0,3,6,1,15,3,0,0,0,0,0,10,16,9,1,0,0,0,2,14,12,16,6,0,0,0,4,0,0,10,9,0,0,0,16,8,6,15,7,0,0,0,10,16,16,13,1,0,3
808,0,0,0,0,12,7,0,0,0,0,0,2,16,4,0,0,0,0,0,12,13,9,3,0,0,0,8,15,4,16,1,0,0,1,15,8,4,16,0,0,0,14,14,8,11,15,1,0,0,9,16,16,16,16,4,0,0,0,0,0,13,6,0,0,4
809,0,0,10,16,15,14,8,0,0,0,7,9,8,14,13,0,0,0,0,0,3,15,2,0,0,0,0,6,13,13,6,0,0,0,1,16,15,12,4,0,0,0,0,12,6,0,0,0,0,0,6,13,1,0,0,0,0,0,12,6,0,0,0,0,7
810,0,0,6,13,15,6,0,0,0,1,16,5,3,13,0,0,0,8,13,0,4,12,0,0,0,3,12,5,15,4,0,0,0,0,7,16,11,0,0,0,0,0,14,7,12,7,0,0,0,0,13,1,1,16,2,0,0,0,4,13,13,10,1,0,8
811,0,3,15,15,3,0,0,0,0,6,16,10,14,2,0,0,0,0,4,0,16,5,0,0,0,0,0,0,15,7,0,0,0,0,0,3,16,2,0,0,0,0,0,8,14,0,0,0,0,0,10,16,7,6,7,1,0,2,16,16,16,16,13,2,2
812,0,0,0,13,6,0,0,0,0,0,4,15,1,0,0,0,0,0,11,9,0,0,0,0,0,1,15,6,0,0,0,0,0,1,16,12,16,12,3,0,0,0,15,16,5,6,14,0,0,0,12,15,1,1,15,2,0,0,1,12,15,15,10,0,6
813,0,0,4,12,9,0,0,0,0,0,8,15,9,9,0,0,0,0,15,6,0,12,2,0,0,3,12,0,0,8,7,0,0,7,11,0,0,5,8,0,0,6,12,0,0,7,8,0,0,3,16,7,5,15,4,0,0,0,5,13,13,8,0,0,0
814,0,0,5,12,15,11,2,0,0,7,11,5,5,16,4,0,0,7,6,0,11,13,0,0,0,0,13,14,11,1,0,0,0,0,14,14,13,2,0,0,0,3,13,0,8,12,2,0,0,0,14,3,0,11,12,0,0,0,8,16,16,14,3,0,8
815,0,0,6,12,8,4,0,0,0,0,6,16,16,10,0,0,0,0,2,16,16,14,0,0,0,0,0,14,16,16,1,0,0,0,1,14,16,13,0,0,0,0,7,16,16,10,0,0,0,0,8,16,16,7,0,0,0,0,6,12,12,11,0,0,1
816,0,2,14,16,10,1,0,0,0,11,15,8,15,9,0,0,0,8,5,0,11,12,0,0,0,0,0,0,11,15,0,0,0,0,0,1,16,7,0,0,0,0,0,8,16,4,0,0,0,0,7,16,14,4,1,0,0,2,16,16,16,16,15,1,2
817,0,0,7,16,16,10,0,0,0,0,13,16,16,7,0,0,0,0,9,16,16,14,1,0,0,0,7,16,16,13,0,0,0,0,2,16,16,10,0,0,0,0,6,16,16,10,0,0,0,0,12,16,16,6,0,0,0,0,8,16,16,10,0,0,1
818,0,0,3,14,3,0,0,0,0,0,12,11,0,0,0,0,0,0,15,4,0,0,0,0,0,4,16,10,6,0,0,0,0,3,16,15,13,11,1,0,0,2,16,4,0,9,9,0,0,0,13,11,0,6,15,0,0,0,4,14,13,16,7,0,6
819,0,0,5,12,14,5,0,0,0,0,6,16,16,13,1,0,0,0,0,16,16,16,0,0,0,0,0,13,16,16,1,0,0,0,0,14,16,10,0,0,0,0,2,16,16,8,0,0,0,0,7,16,16,5,0,0,0,0,9,16,16,7,0,0,1
820,0,0,0,6,14,1,0,0,0,0,0,13,7,0,0,0,0,0,6,14,2,0,6,0,0,1,14,5,0,9,15,0,0,9,14,0,2,16,6,0,1,15,15,12,14,15,3,0,1,12,12,10,16,4,0,0,0,0,0,7,13,0,0,0,4
821,0,0,2,10,16,13,0,0,0,2,15,9,1,15,3,0,0,8,10,0,6,14,0,0,0,6,14,12,14,3,0,0,0,2,16,13,11,0,0,0,0,7,10,0,11,8,0,0,0,0,14,3,0,13,1,0,0,0,2,14,16,14,0,0,8
822,0,0,9,15,12,2,0,0,0,4,15,5,8,15,0,0,0,7,13,0,4,16,1,0,0,2,16,7,8,16,4,0,0,0,5,12,11,14,6,0,0,0,0,0,0,12,8,0,0,0,3,2,1,13,4,0,0,0,11,16,16,10,0,0,9
823,0,1,14,15,2,0,0,0,0,2,13,12,12,0,0,0,0,0,0,4,16,3,0,0,0,0,0,1,16,6,0,0,0,0,0,5,16,0,0,0,0,0,0,8,12,0,0,0,0,0,5,16,10,8,7,1,0,1,15,16,16,14,12,2,2
824,0,0,4,15,0,0,0,0,0,0,11,9,0,0,0,0,0,0,16,3,0,0,0,0,0,3,16,4,7,0,0,0,0,3,16,16,14,11,1,0,0,3,16,9,0,8,10,0,0,0,14,9,0,2,16,0,0,0,3,14,16,16,10,1,6
825,0,2,12,13,15,16,7,0,0,2,16,6,0,0,1,0,0,1,16,12,8,0,0,0,0,2,12,6,11,13,0,0,0,0,0,0,0,11,6,0,0,1,1,0,0,8,8,0,0,6,10,0,3,15,2,0,0,2,15,16,12,5,0,0,5
826,0,0,3,12,13,1,0,0,0,1,14,11,10,8,0,0,0,4,16,3,0,12,2,0,0,4,13,1,0,9,6,0,0,6,12,0,0,5,8,0,0,3,13,0,0,4,9,0,0,0,15,8,4,13,8,0,0,0,5,15,15,9,0,0,0
827,0,0,7,16,16,4,0,0,0,5,15,14,8,13,0,0,0,8,12,0,0,12,6,0,0,8,8,0,0,6,12,0,0,12,8,0,0,4,12,0,0,8,10,0,0,7,11,0,0,2,16,7,6,14,7,0,0,0,6,15,15,8,0,0,0
828,0,0,3,11,13,10,0,0,0,3,15,7,4,14,2,0,0,8,13,1,1,14,2,0,0,7,13,14,10,13,0,0,0,0,1,14,16,1,0,0,0,0,10,11,10,10,0,0,0,0,11,6,3,13,0,0,0,0,3,13,16,9,0,0,8
829,0,0,0,4,15,2,0,0,0,0,0,9,12,0,1,2,0,0,1,15,4,0,12,8,0,1,12,9,0,5,15,1,0,8,13,0,0,12,10,0,4,16,13,12,14,15,1,0,7,14,12,12,16,6,0,0,0,0,0,6,14,0,0,0,4
830,0,0,0,0,15,11,0,0,0,0,0,1,16,8,0,0,0,0,0,12,13,1,0,0,0,0,7,15,2,12,3,0,0,1,15,7,2,16,4,0,0,10,16,11,11,16,3,0,0,15,12,12,15,16,5,0,0,0,0,0,13,7,0,0,4
831,0,0,14,16,16,15,5,0,0,0,13,8,4,5,2,0,0,0,13,6,2,0,0,0,0,0,16,13,14,2,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,16,0,0,0,4,11,1,5,12,0,0,0,1,11,16,15,3,0,0,5
832,0,1,6,14,11,0,0,0,0,7,10,2,15,4,0,0,0,5,10,1,13,9,0,0,0,2,14,4,12,16,0,0,0,0,5,12,5,11,7,0,0,0,0,0,0,8,8,0,0,0,3,1,0,11,6,0,0,0,10,13,12,8,0,0,9
833,0,0,6,14,16,9,0,0,0,5,16,10,12,12,0,0,0,1,7,0,9,12,0,0,0,0,2,13,16,8,0,0,0,0,2,13,14,16,7,0,0,0,1,0,0,10,9,0,0,0,11,9,5,15,7,0,0,0,7,16,16,10,0,0,3
834,0,0,11,15,0,0,0,0,0,0,9,16,1,0,0,0,0,0,9,16,0,0,0,0,0,0,11,13,0,9,5,0,0,0,13,11,0,11,13,0,0,1,15,10,6,12,16,1,0,4,16,16,16,15,16,4,0,0,7,7,4,0,15,7,4
835,0,0,0,10,15,6,0,0,0,0,7,16,10,12,2,0,0,1,15,5,1,11,4,0,0,3,14,0,0,5,6,0,0,7,10,0,0,3,8,0,0,4,12,0,0,4,11,0,0,0,15,4,0,10,8,0,0,0,2,12,13,13,1,0,0
836,0,0,0,1,16,6,0,0,0,0,0,9,15,2,0,0,0,0,3,16,4,1,4,0,0,1,13,11,0,11,13,0,0,6,15,2,2,16,7,0,0,13,15,12,15,16,6,0,0,4,8,8,14,11,1,0,0,0,0,0,15,6,0,0,4
837,0,0,4,13,14,3,0,0,0,6,15,6,5,11,0,0,0,11,8,0,4,12,0,0,0,8,11,4,16,5,0,0,0,1,10,16,15,2,0,0,0,1,14,7,6,15,4,0,0,1,15,2,0,6,15,0,0,0,5,12,13,15,6,0,8
838,0,0,3,16,13,6,0,0,0,1,9,13,12,16,2,0,0,10,16,10,6,16,4,0,0,7,16,16,16,16,8,0,0,0,4,8,5,10,10,0,0,0,0,0,0,8,12,0,0,0,1,10,5,15,8,0,0,0,2,14,16,12,0,0,9
839,0,2,12,16,16,13,1,0,0,11,15,4,3,16,7,0,0,7,11,1,13,13,0,0,0,0,0,10,16,15,3,0,0,0,0,1,4,14,11,0,0,1,4,0,0,12,12,0,0,8,14,0,3,16,5,0,0,3,13,16,16,10,0,0,3
840,0,0,7,15,16,11,1,0,0,0,0,15,16,16,1,0,0,0,0,13,16,16,6,0,0,0,0,13,16,16,3,0,0,0,0,14,16,14,2,0,0,0,2,16,16,12,0,0,0,0,5,16,16,14,0,0,0,0,8,16,16,8,0,0,1
841,0,0,12,16,14,6,0,0,0,2,16,16,16,6,0,0,0,4,16,16,12,2,0,0,0,3,16,16,16,1,0,0,0,2,16,16,16,0,0,0,0,4,16,16,12,0,0,0,0,3,16,16,15,4,0,0,0,2,14,16,12,8,0,0,1
842,0,0,0,8,16,5,0,0,0,0,9,13,7,14,0,0,0,0,15,2,0,9,4,0,0,3,13,0,0,4,8,0,0,4,7,0,0,4,8,0,0,3,12,0,0,4,9,0,0,0,11,10,1,7,9,0,0,0,1,9,15,14,3,0,0
843,0,0,14,16,12,16,16,0,0,0,8,12,8,16,11,0,0,0,0,0,7,15,3,0,0,0,2,7,14,14,3,0,0,0,12,16,14,12,6,0,0,0,1,15,5,0,0,0,0,0,9,16,0,0,0,0,0,0,16,9,0,0,0,0,7
844,0,6,16,12,2,0,0,0,0,1,13,16,12,0,0,0,0,0,0,12,12,0,0,0,0,0,1,15,9,0,0,0,0,0,4,16,1,0,0,0,0,0,14,11,0,0,0,0,0,5,16,15,16,15,4,0,0,4,15,13,12,11,8,0,2
845,0,0,0,5,16,4,0,0,0,0,1,13,13,1,0,0,0,0,7,16,5,2,3,0,0,3,16,15,10,15,13,0,0,10,16,16,16,16,8,0,0,1,4,5,16,15,3,0,0,0,0,4,16,11,0,0,0,0,0,7,16,3,0,0,4
846,0,0,6,9,13,7,0,0,0,7,16,12,13,14,0,0,0,5,3,1,15,7,0,0,0,0,0,5,16,1,0,0,0,0,0,4,16,6,0,0,0,0,0,0,10,16,10,0,0,0,0,1,7,16,10,0,0,0,4,15,13,8,0,0,3
847,0,5,14,15,9,1,0,0,0,7,14,12,16,15,1,0,0,0,1,0,9,16,4,0,0,0,0,0,7,16,4,0,0,0,0,0,12,14,0,0,0,0,1,11,16,4,0,0,0,3,14,16,13,8,2,0,0,4,12,16,12,10,4,0,2
848,0,0,3,10,12,0,0,0,0,0,9,16,16,11,0,0,0,0,14,12,2,15,3,0,0,1,16,9,0,9,7,0,0,4,15,1,0,8,8,0,0,3,16,0,0,7,11,0,0,2,15,10,9,15,6,0,0,0,3,15,15,7,0,0,0
849,0,0,1,14,10,0,0,0,0,0,10,13,1,0,0,0,0,2,15,4,0,0,0,0,0,5,16,2,0,0,0,0,0,8,15,2,0,0,0,0,0,4,16,16,16,14,2,0,0,0,12,16,14,16,10,0,0,0,2,11,14,13,7,0,6
850,0,0,1,10,2,3,0,0,0,0,8,16,15,16,0,0,0,0,12,16,16,4,0,0,0,0,12,16,7,0,0,0,0,3,16,13,13,1,0,0,0,1,16,4,12,10,0,0,0,0,11,12,11,16,2,0,0,0,2,12,14,9,1,0,8
851,0,0,9,15,4,0,0,0,0,8,16,11,7,0,0,0,0,11,11,0,2,10,0,0,0,6,16,6,13,14,1,0,0,0,7,16,16,4,0,0,0,0,5,16,16,9,0,0,0,0,10,16,16,14,0,0,0,0,6,16,9,4,0,0,8
852,0,0,7,15,10,8,1,0,0,4,16,7,11,16,8,0,0,8,16,2,7,16,5,0,0,0,14,16,16,9,0,0,0,0,6,16,16,3,0,0,0,0,9,14,15,14,2,0,0,0,15,12,11,16,4,0,0,0,7,15,14,7,0,0,8
853,0,0,1,11,10,0,0,0,0,0,11,16,13,3,0,0,0,2,16,14,14,16,10,0,0,2,13,16,16,16,8,0,0,0,0,2,0,16,7,0,0,0,0,0,2,16,3,0,0,0,0,4,15,12,0,0,0,0,0,13,8,0,0,0,9
854,0,0,11,8,0,0,0,0,0,0,11,12,0,0,0,0,0,0,14,8,0,0,0,0,0,4,16,10,5,1,0,0,0,3,16,16,16,13,2,0,0,0,16,10,10,16,8,0,0,0,16,11,12,16,6,0,0,0,8,16,16,9,0,0,6
855,0,1,8,14,13,2,0,0,0,8,15,12,16,10,0,0,0,3,3,3,16,4,0,0,0,0,0,4,14,0,0,0,0,0,0,3,16,5,0,0,0,0,0,0,8,16,5,0,0,0,2,7,9,16,6,0,0,0,7,15,11,5,0,0,3
856,0,1,3,15,14,4,0,0,0,6,13,16,14,14,0,0,0,10,6,9,2,14,3,0,0,8,4,0,0,7,8,0,0,7,6,0,0,8,8,0,0,1,13,1,0,13,5,0,0,0,10,11,9,15,1,0,0,0,2,12,16,6,0,0,0
857,0,0,0,7,15,0,0,0,0,0,0,14,13,0,0,0,0,0,5,16,3,0,0,0,0,1,13,13,0,6,11,0,0,8,16,9,2,15,10,0,1,14,16,16,16,16,6,0,0,4,8,9,16,14,0,0,0,0,0,7,16,10,0,0,4
858,0,0,4,15,10,7,0,0,0,0,8,16,16,16,1,0,0,0,8,16,16,16,0,0,0,0,3,16,16,10,1,0,0,0,10,16,16,4,0,0,0,3,16,14,15,11,0,0,0,3,15,11,13,15,0,0,0,0,5,13,16,8,0,0,8
859,0,0,4,12,12,1,0,0,0,1,15,16,16,8,0,0,0,6,16,16,16,16,1,0,0,1,4,5,7,16,4,0,0,0,0,0,1,16,8,0,0,0,0,0,2,16,7,0,0,0,10,8,13,14,1,0,0,0,7,16,9,1,0,0,9
860,0,0,5,12,15,10,1,0,0,6,16,16,16,15,2,0,0,4,14,16,16,5,0,0,0,0,5,16,8,0,0,0,0,0,3,16,16,10,1,0,0,0,0,3,16,16,7,0,0,0,4,14,16,12,0,0,0,0,4,14,8,0,0,0,3
861,0,0,10,10,7,0,0,0,0,0,13,16,16,12,1,0,0,3,16,14,6,15,7,0,0,6,12,2,0,8,8,0,0,4,8,0,1,14,7,0,0,4,10,0,8,15,1,0,0,2,16,14,15,4,0,0,0,0,10,16,9,0,0,0,0
862,0,0,6,9,0,0,0,0,0,0,5,16,12,0,0,0,0,4,5,3,13,11,0,0,0,6,11,0,1,14,5,0,0,3,13,0,0,8,9,0,0,0,15,1,5,12,12,0,0,0,15,14,16,14,4,0,0,0,5,16,10,2,0,0,0
863,0,0,3,14,12,0,0,0,0,1,16,16,16,7,0,0,0,6,16,12,16,16,2,0,0,3,16,16,12,16,4,0,0,0,0,0,0,16,6,0,0,0,0,0,2,16,7,0,0,0,1,11,15,15,2,0,0,0,4,13,9,3,0,0,9
864,0,0,0,3,13,8,0,0,0,0,0,12,16,10,0,0,0,0,0,15,16,11,0,0,0,1,15,16,16,12,0,0,0,7,16,16,16,12,0,0,0,4,13,14,16,13,0,0,0,0,0,8,16,16,2,0,0,0,0,6,14,11,3,0,1
865,0,0,0,9,8,0,0,0,0,0,2,15,16,8,0,0,0,0,9,16,16,8,0,0,0,0,13,16,16,12,0,0,0,1,13,16,16,12,0,0,0,0,1,16,16,15,0,0,0,0,0,16,16,16,3,0,0,0,0,9,12,12,7,0,1
866,0,0,6,11,16,8,0,0,0,1,15,15,11,2,0,0,0,8,16,7,0,0,0,0,0,6,16,5,0,0,0,0,0,0,10,16,13,4,0,0,0,0,0,1,14,16,0,0,0,0,2,8,15,10,0,0,0,0,10,14,7,0,0,0,5
867,0,0,3,13,16,16,2,0,0,0,10,14,13,16,7,0,0,0,0,0,6,16,4,0,0,0,2,11,15,16,12,0,0,0,9,14,16,9,1,0,0,0,0,9,15,0,0,0,0,0,2,15,6,0,0,0,0,0,7,10,0,0,0,0,7
868,0,0,5,15,2,0,0,0,0,0,16,15,0,0,0,0,0,5,16,6,0,0,0,0,0,8,16,11,11,4,0,0,0,8,16,16,16,16,2,0,0,6,16,8,6,16,5,0,0,2,16,14,16,16,2,0,0,0,9,16,14,7,0,0,6
869,0,0,0,11,15,6,0,0,0,0,11,16,16,11,0,0,0,2,16,16,16,12,0,0,0,0,12,16,16,9,0,0,0,0,5,16,16,15,1,0,0,0,7,16,3,15,2,0,0,0,1,16,6,16,0,0,0,0,1,11,15,7,0,0,8
870,0,0,4,14,16,8,0,0,0,3,16,16,16,16,0,0,0,3,9,4,16,16,4,0,0,0,2,16,16,16,14,0,0,0,2,13,16,12,2,0,0,0,0,7,16,4,0,0,0,0,0,13,13,0,0,0,0,0,5,13,3,0,0,0,7
871,0,0,0,0,13,4,0,0,0,0,0,9,12,1,0,0,0,0,4,14,4,0,0,0,0,1,14,12,4,4,1,0,0,7,16,16,16,16,7,0,0,4,7,2,9,16,3,0,0,0,0,0,12,12,0,0,0,0,0,0,14,5,0,0,4
872,0,0,9,15,8,2,0,0,0,3,15,15,16,9,0,0,0,0,11,16,16,12,0,0,0,0,0,0,2,14,2,0,0,0,0,0,0,15,8,0,0,0,0,0,0,9,12,0,0,0,14,5,7,13,14,0,0,0,10,16,15,12,1,0,9
873,0,0,11,3,8,7,0,0,0,1,15,11,16,16,7,0,0,0,16,4,5,13,10,0,0,3,13,0,0,8,9,0,0,5,13,0,0,8,8,0,0,6,13,0,7,16,2,0,0,2,16,12,16,10,0,0,0,0,9,13,8,0,0,0,0
874,0,0,0,1,11,7,0,0,0,0,0,13,16,15,2,0,0,0,4,16,16,16,4,0,0,2,16,16,16,16,0,0,0,1,8,9,16,16,1,0,0,0,0,10,16,16,1,0,0,0,0,9,16,16,0,0,0,0,0,2,11,7,0,0,1
875,0,0,0,1,13,9,0,0,0,0,0,8,16,2,0,0,0,0,7,16,4,0,0,0,0,4,16,7,3,11,4,0,0,12,16,13,16,16,5,0,0,11,12,12,16,15,0,0,0,0,0,0,15,13,0,0,0,0,0,1,16,5,0,0,4
876,0,0,0,1,13,7,0,0,0,0,0,12,14,0,0,0,0,0,8,15,3,0,2,0,0,6,16,7,4,10,13,0,0,13,16,16,16,16,10,0,0,1,8,8,9,15,2,0,0,0,0,0,10,10,0,0,0,0,0,0,15,7,0,0,4
877,0,0,4,15,6,0,0,0,0,3,16,16,16,5,0,0,0,7,11,4,8,14,1,0,0,7,10,0,0,14,6,0,0,7,10,0,0,11,9,0,0,2,14,0,0,9,10,0,0,0,12,10,9,15,6,0,0,0,2,13,16,7,0,0,0
878,0,0,8,13,1,0,0,0,0,0,12,16,0,0,0,0,0,0,15,11,0,0,0,0,0,0,15,13,6,3,0,0,0,0,15,16,16,16,5,0,0,0,15,16,14,16,12,0,0,0,13,16,15,16,7,0,0,0,5,15,13,7,0,0,6
879,0,1,10,12,16,12,3,0,0,0,12,16,10,11,3,0,0,0,7,14,0,0,0,0,0,0,7,16,7,1,0,0,0,0,1,12,15,12,0,0,0,2,11,13,3,16,2,0,0,8,15,6,15,11,0,0,0,3,13,14,9,1,0,0,5
880,0,2,15,12,12,12,7,0,0,0,12,16,14,14,9,0,0,0,10,10,0,0,0,0,0,0,8,13,3,0,0,0,0,0,0,7,15,4,0,0,0,0,0,0,10,11,0,0,0,2,7,9,14,3,0,0,0,4,15,11,1,0,0,0,5
881,0,0,3,13,16,15,2,0,0,0,10,12,10,16,10,3,0,0,0,0,8,16,15,4,0,0,0,8,16,15,1,0,0,0,0,2,10,10,0,0,0,0,0,4,15,1,0,0,0,0,0,11,9,0,0,0,0,0,4,15,0,0,0,0,7
882,0,0,11,16,14,9,1,0,0,0,15,13,13,16,4,0,0,0,0,0,4,16,5,0,0,0,0,0,10,15,2,0,0,0,0,8,16,6,0,0,0,0,8,16,8,0,0,0,0,6,16,16,16,10,0,0,0,1,8,8,12,13,0,0,2
883,0,4,16,13,0,0,0,0,0,10,16,16,2,0,0,0,0,8,7,16,4,0,0,0,0,0,5,16,2,0,0,0,0,0,10,14,0,0,0,0,0,1,15,10,0,0,0,0,0,8,16,16,16,16,6,0,0,3,13,16,16,15,5,0,2
884,0,0,8,0,8,7,0,0,0,0,16,4,13,16,2,0,0,2,14,2,7,16,6,0,0,7,12,0,0,13,7,0,0,5,13,0,0,12,8,0,0,5,16,8,4,15,7,0,0,3,16,16,16,16,1,0,0,0,7,14,10,3,0,0,0
885,0,4,16,14,1,0,0,0,0,9,16,16,8,0,0,0,0,5,9,12,7,0,0,0,0,0,1,16,3,0,0,0,0,0,6,15,0,0,0,0,0,1,15,10,0,0,0,0,0,6,16,14,10,6,1,0,0,4,15,16,16,16,13,0,2
886,0,0,5,16,10,0,0,0,0,0,12,15,15,5,0,0,0,0,10,3,11,9,0,0,0,0,0,0,12,8,0,0,0,0,0,0,15,6,0,0,0,0,2,7,16,2,0,0,0,0,11,16,16,15,10,2,0,0,6,8,4,9,15,3,2
887,0,0,5,13,3,0,0,0,0,0,12,16,11,0,0,0,0,0,5,13,16,1,0,0,0,0,0,3,16,3,0,0,0,0,0,9,16,1,0,0,0,0,1,16,9,0,0,0,0,0,7,16,13,8,4,0,0,0,5,16,16,16,16,5,2
